ROI_ID,network,X,Y,Z,MNI_Coordinates,Cortical_Label,Subcortical_Label
ROI_074,Default,-41.0,-75.0,26.0,"(-41.0, -75.0, 26.0)","Lateral Occipital Cortex, superior division",Left Cerebral Cortex
ROI_075,Default,6.0,67.0,-4.0,"(6.0, 67.0, -4.0)",Frontal Pole,Right Cerebral Cortex
ROI_076,Default,8.0,48.0,-15.0,"(8.0, 48.0, -15.0)",Frontal Medial Cortex,Right Cerebral White Matter
ROI_077,Default,-13.0,-40.0,1.0,"(-13.0, -40.0, 1.0)",Background,Left Hippocampus
ROI_078,Default,-18.0,63.0,-9.0,"(-18.0, 63.0, -9.0)",Frontal Pole,Left Cerebral Cortex
ROI_079,Default,-46.0,-61.0,21.0,"(-46.0, -61.0, 21.0)","Lateral Occipital Cortex, superior division",Left Cerebral Cortex
ROI_080,Default,43.0,-72.0,28.0,"(43.0, -72.0, 28.0)","Lateral Occipital Cortex, superior division",Right Cerebral Cortex
ROI_081,Default,-44.0,12.0,-34.0,"(-44.0, 12.0, -34.0)",Temporal Pole,Left Cerebral Cortex
ROI_082,Default,46.0,16.0,-30.0,"(46.0, 16.0, -30.0)",Temporal Pole,Right Cerebral Cortex
ROI_083,Default,-68.0,-23.0,-16.0,"(-68.0, -23.0, -16.0)","Middle Temporal Gyrus, posterior division",Left Cerebral Cortex
ROI_086,Default,-44.0,-65.0,35.0,"(-44.0, -65.0, 35.0)","Lateral Occipital Cortex, superior division",Left Cerebral Cortex
ROI_087,Default,-39.0,-75.0,44.0,"(-39.0, -75.0, 44.0)","Lateral Occipital Cortex, superior division",Left Cerebral Cortex
ROI_088,Default,-7.0,-55.0,27.0,"(-7.0, -55.0, 27.0)","Cingulate Gyrus, posterior division",Left Cerebral Cortex
ROI_089,Default,6.0,-59.0,35.0,"(6.0, -59.0, 35.0)",Precuneous Cortex,Right Cerebral Cortex
ROI_090,Default,-11.0,-56.0,16.0,"(-11.0, -56.0, 16.0)",Precuneous Cortex,Left Cerebral White Matter
ROI_091,Default,-3.0,-49.0,13.0,"(-3.0, -49.0, 13.0)","Cingulate Gyrus, posterior division",Left Cerebral Cortex
